,name,description,category
37,Employment up again as number in work surges to new high,"The number of people in work in Wales has risen by 25,000 over the last three months to reach a new high of 1.46 million. Compared to the same time last year, the employment rate is 0.2% higher, while the unemployment rate is unchanged. Economic inactivity ...",Business
248,Tributes paid to popular Stafford teaching assistant who died suddenly,"A POPULAR Stafford man described as a joker and an inspiration has died suddenly at the age of 37. Adam Nevin, who lived in Castletown, died at Royal Stoke University Hospital on Thursday after suffering an aggressive form of bowel cancer. He had been ...",Health
536,Mercedes¡¯ Toto Wolff: ¡°Today¡¯s win was one for the whole team¡±,"Lewis Hamilton celebrates after winning the Spanish Grand Prix - Credit: Octane Photographic Ltd ¡°That was an epic Grand Prix,¡± said Wolff. ¡°Racing simply doesn¡¯t go more wheel to wheel ? and we were treated to some fantastic racing for the win.",Sports
87,Millionaire Warns Millennials: Stop Buying Avocado Toast If You Want To Become Homeowners,"Millennials would have a better shot at becoming homeowners if they stopped buying avocado on toast, according to an Australian millionaire. Tim Gurner, a 35-year-old Australian property mogul, made the controversial claims on Monday in an interview with ...",Business
597,Duchess Catherine worried if kids will behave at sister's wedding,"The Duchess of Cambridge's sister Pippa Middleton is set to tie the knot with hedge fund manager James Matthews over the weekend and Catherine is ""hopeful"" that her two children - Prince George, three, and Princess Charlotte, two - will be good. Andrew ...",UK
68,Jobs up for grabs as Ikea plans new Devon store and others,"Ikea is to create 1,300 new British jobs by the end of 2018 as it opens three new outlets in Devon, Sheffield and London. The Swedish flat pack furniture giant said the retail roles will see the total number of staff employed in the UK rise to 11,700.",Business
727,This Is How We Dot It: the daily lives of seven kids in seven countries,"This Is How We Do It by Matt Lamothe features the daily routines of seven children from different countries around the world (Japan, Peru, Iran, Russia, India, Italy, and Uganda). In Japan Kei plays Freeze Tag, while in Uganda Daphine likes to jump rope.",World
686,South Korea's Moon says 'high possibility' of conflict with North as missile crisis builds,"SEOUL South Korean President Moon Jae-in said on Wednesday there was a ""high possibility"" of conflict with North Korea, which is pressing ahead with nuclear and missile programs it says it needs to counter U.S. aggression. The comments came hours after the ...",World
391,Kim Jong-Un game 'Dear Leader' lets players take over the world as the North Korean dictator,"A new mobile game has players take control of North Korean leader Kim Jong-un and fight to protect his country, the ""happiest place on Earth"". The firmly tongue-in-cheek game grants the trigger-happy dictator a slew of weaponry to use. And there are a ...",ScienceAndTechnology
726,Anti-government protests leave four dead in Venezuela unrest,"A demonstrator holds a sign that doubles a shield that reads in Spanish ""It's for you,"" during a national sit-in against President Nicolas Maduro, in Caracas, Venezuela, Monday, May 15, 2017. Business owners shuttered shops, a burned police station stood ...",World
420,Take action on cyber security and new tech,Cyber security was in the spotlight at the Advantage Conference 2017 as Deloitte¡¯s Alistair Pritchard set out the key issues affecting the independent travel sector. Sharelines 30% of airports and 20% of global airlines are trialling types of [web ...,ScienceAndTechnology
575,Man City Women vs Birmingham City LIVE FA Cup final reaction as Carli Lloyd scores in 4-1 win,Man City Women are just one victory away from winning their first ever FA Cup trophy. Nick Cushing's side have reached the final for the first time in their history after a 1-0 win over Liverpool at the CFA last month. After heartbreaking semi-final ...,Sports
220,"Transsexual is left with nasty scar from ¡®botched ?1,500 hair transplant by butcher surgeon¡¯ in Thailand","A TRANSSEXUAL was left with a ¡°Frankenstein¡± scar on her hairline by a ¡°butcher¡± surgeon, after undergoing a cut-price hair transplant in Thailand. Adele Deane paid just ?1,500 for the surgery in Bangkok ? a quarter of the price it costs in the UK.",Health
619,People traffickers jailed for forcing women as young as 14 into prostitution after promising them work,"A trio have been have been jailed after trafficking women and young girls into prostitution in the UK. Romelia Radu, 32, Petre Niculescu, 39, and George Maracineanu, 47, deceived women into moving to the UK with the promise of work, before forcing them ...",UK
491,Arsene Wenger quizzed about Sead Kolasinac transfer with Arsenal set to sign left-back on five-year deal,"Arsene Wenger remained tight-lipped when quizzed about the potential transfer of Schalke left-back Sead Kolasinac, report football.london. Arsenal's manager fielded two left-backs in Tuesday night's win over Sunderland, but looks set to add another to his ...",Sports
205,Bradley Lowery¡¯s parents post emotional message as cancer-battling youngster turns six,"THE parents of brave Bradley Lowery have posted an emotional birthday message to their ¡°amazing little superstar¡± who turns six today. Gemma and Carl Lowery have arranged for fire-breathers, stilt-walkers and a disco for the cancer-battling ...",Health
647,Charcol¡¯s Simon Collins fired after admitting 12 sex offences in Essex Court,Regular mortgage industry commentator and product technical manager Simon Collins at John Charcol admitted a raft of sex offences including paedophilia and harbouring graphic online porn at Chelmsford Magistrates court yesterday. The firm confirmed his ...,UK
315,Nicola Sturgeon says 'UK parties are decades behind the SNP',Nicola Sturgeon yesterday accused Labour of trying to steal her most popular policies as she celebrated a decade of SNP power in Scotland. The First Minister insisted the country has ¡°come a long way¡± since Alex Salmond led the party to victory at ...,Politics
739,UN urges end to mistreatment of Palestinian prisoners,"GENEVA (AA): The UN¡¯s point person on human rights in occupied Palestine Tuesday urged Israel to abide by international law and international standards of detention. In a written statement, Michael Lynk, the UN special rapporteur on the situation of ...",World
253,Shoreham business makes cancer survivor¡¯s van trip dream a reality,"A cancer survivor¡¯s dream to travel the country in a campervan has come true ? thanks to the help of a Shoreham business. James Cannom, who runs a campervan rental company J4Campers with his wife, Zoe, in Tarragon Way, Shoreham, was first contacted by ...",Health
666,"Rhyl Home Bargains murder accused were shocked by Mark Mason's stabbing, court hears","Barristers representing two of three men accused of murdering Rhyl drug dealer Mark Mason have suggested their clients were shocked at his stabbing. John McDermott QC, representing Anthony Baines, and Nigel Power QC, representing Mark Ennis, suggested that ...",UK
213,Race is on to save brave cancer victim Sarah's life,"A newly wed mum, who is battling cancer, has inspired people across the UK to raise money for revolutionary treatment that could help to save her life. And the race to raise the ?180,000 is even more vital as doctors last week gave the devastating news ...",Health
669,"Man accused of stealing ?3,000 mobility scooter from outside Hawick home","A man has been charged with the theft of a ?3,000 mobility scooter and a wheelchair from outside a house in Hawick. Jamie Turner, 34, is accused of stealing the mobility aids from a stairwell outside owner Cameron Jolly¡¯s home in Backdamgate last month.",UK
217,How This 45-Year-Old Transformed His Body In Just 12 Weeks,Rachel Moss Lifestyle Writer at HuffPost UK. A 45-year-old is telling men they¡¯re never too old to get into shape after he transformed his physique in just 12 weeks. Dad-of-three Ben Jackson halved his body fat after overhauling his diet and fitness ...,Health
273,"Beauty sleep is not a myth, says new research","Those who have restricted sleep are less attractive to others, says a new study. Compounding the idea of beauty sleep, new research shows that a couple nights' bad sleep is enough to make a person look ""significantly"" uglier. It can even put people off ...",Health
435,F.I.N.E Jewellery teams with WITR in CSR drive,"Finnish bijoux jewellery brand F.I.N.E announced it has sponsored the education and well-being of five female students at Sunrise Cambodia as part of its corporate social giving plan, formalised during last week¡¯s TFWA Singapore show. F.I.N.E is working ...",ScienceAndTechnology
775,Crocodiles eat pastor trying to walk on water at Crocodile River,"To Crocodile River, Zimbabwe, where a pastor is trying to walk on water. Pastor Jonathan Mthethwa of the Saint of the last days church was unsuccessful. And is devoured by crocodiles. ¡°We still don¡¯t understand how this happened because he fasted and ...",World
155,Rumours Taylor Swift is dating former University of Bristol student,"According to reports Taylor Swift has a new boyfriend and has been secretly dating a former University of Bristol student. Actor Joe Alwyn is said to be a rising star in Hollywood, but still lives with his mum and dad. The 26-year-old British actor ...",Entertainment
723,Assad's crimes tried in German courts?,"Abir Farhud speaks mechanically. It's not the first time she's told the story of how the head of department 215 at the military intelligence service in Damascus commanded each and every woman to come to his office. Like all the others, she was also made to ...",World
60,Patisserie Holdings interim profit and revenue rise,"(ShareCast News) - Patisserie Holdings reported a rise in profits and revenue for the six months to the end of March, as it continues to focus on expansion. Pre-tax profit was up 16% to ?9.7m on revenue of ?55.5m, up from ?50m in the first half of last ...",Business
510,San Antonio Spurs @ Golden State Warriors: Game 2 a stroll for hosts,"The San Antonio Spurs led big against the Golden State Warriors in Game 1 of the Western Conference Finals, but the ankle injury sustained by Spurs' superstar forward Kawhi Leonard in the third quarter combined by the offensive brilliance of Stephen Curry ...",Sports
368,Pension tax relief will blow hole in Labour's spending plans,"Labour has said it will not change pension tax relief in correspondence to its proposed changes to income tax, despite concerns pension contributions could be used to get around the tax increase for higher earners. Today Labour announced plans to introduce ...",Politics
65,U.S. Workers Testing Positive For Drugs Hits 12-Year High,"ORLANDO, Florida - Drug use in the American workforce, fueled by illicit drugs, reached the highest positivity rate in 12 years, according to an analysis of more than ten million workforce drug test results released on Tuesday by Quest Diagnostics.",Business
452,Fly the Tardis through the time vortex in this new free Doctor Who video game,"If you¡¯ve ever watched the opening credits of Doctor Who, the blue police box whirling through a tunnel of time and space, and thought ¡°Yeah, I¡¯d like to be a part of that,¡± then we have some good news ? the BBC have launched a brand-new video ...",ScienceAndTechnology
132,Michael Middleton will give his third bride away this weekend,Michael Middleton will be walking down the aisle for the third time this weekend as he gives daughter Pippa away to stockbroker fianc? James Matthews. The father of the bride gave eldest daughter Kate away at her royal wedding to Prince William at ...,Entertainment
679,Son of cop who snared Yorkshire Ripper jailed over ?80k cocaine haul,"A drug dealer whose detective dad snared the Yorkshire Ripper was jailed for four years yesterday after being caught with more than ?80,000 of drugs. Michael Holland, whose dad Dick led the hunt to catch Peter Sutcliffe, appeared at Edinburgh High Court ...",UK
618,Parents warned AGAIN after man attempts to lure primary school children into car,A St Helens primary school have issued a warning to parents after a driver appeared to try to lure two young pupils into his car. St John Vianney Primary School sent out a text after the reported incident at the junction of Rainhill Road and Eltonhead Road ...,UK
144,Stage School returns for a new term,"Hot on the success of the last series, E4 has commissioned another series of Stage School, following the lives of the students and teachers at the D&B Academy of Performing Arts. Familiar faces like Pia, Megan, Jos h, Leah, Jordi, Luke and Durone return ...",Entertainment
257,In sickness and in health - one Hull husband's utter devotion for his ill wife,"When Bill Kaye promised his wife Pauline he would love her in sickness and in health, he meant every word. Alex Grove hears their story. It is a marriage that has stood the test of time. When Bill Kaye made his vows more than 50 years ago, it turned out to ...",Health
50,ITE posts mixed results and launches ?20m transformation programme,"Global events organiser ITE Group plc has delivered a set of interim results which point to long-awaited stabilisation in its Moscow business, but reflect continued challenging trading conditions in some of the Group¡¯s other markets. Revenues of ?69.6m ...",Business
346,Are you registered to vote in the General Election?,"JUST a few days remain to register to vote in the general election on June 8. The deadline is midnight on Monday (22) for the polls deciding MPs for Rotherham, Rother Valley and Wentworth and Dearne. Anyone not registered to vote at their current address ...",Politics
431,"WRC 7 Studio ""Looking Into"" Nintendo Switch Development","French studio Kylotonn is hard at work on its latest rally title WRC 7, which is due to arrive on PS4, Xbox One and PC later this year. However, it would seem that many within the company are fans of the Switch, and game director Alain Jarniou has stated ...",ScienceAndTechnology
493,"Southampton vs Manchester United live stream details, TV information and more ahead of St Mary's clash",Manchester Unite d make the trip to the south coast on Wednesday night looking to end their poor recent domestic record. Jose Mourinho has prioritised the Europa League with United taking on Ajax in Stockholm next week. But their Premier League form hasn't ...,Sports
446,Torment: Tides of Numenera free update reinstates cut companion Oom,"Cut companion Oom - the Toy - has arrived in Torment: Tides of Numenera, along with the lore-expanding Voluminous Codex and a clump of game changes, including the addition of tiers (character levels) five and six. This is a free update, as promised.",ScienceAndTechnology
117,Katy Perry confirmed as judge on American Idol reboot,"Katy Perry will be a judge on the 2018 revival of TV singing competition American Idol. The show ended in April after 15 years, but rumours of its return were sparked when Ryan Seacrest entered negotiations to relaunch it. In a statement about the role ...",Entertainment
91,Mitel acquires UC assets from Toshiba,"Toshiba has signed an MoU to transfer its existing unified communications assets and support obligations in North America, including inventory, to Mitel, as reported earlier this year by CRN. Both companies are committed to supporting warranty and ...",Business
631,Ejector seat manufacturer faces jury trial after death of Red Arrows pilot,Flight Lieutenant Sean Cunningham died in 2011 after being ejected from his jet. Photo: MOD An ejector seat manufacturer is to face a jury trial after denying breaching health and safety regulations following the death of Red Arrows pilot Sean Cunningham.,UK
469,"Proxima B: 'Second Earth' Just Four Light Years Away Could Be Habitable, According To Scientists","A planet orbiting our closest neighbouring star may feature a stable climate that could support life, according to new research. Proxima b, which lies just 4.2 light years from Earth and is a similar size to our world, is thought to orbit within its star ...",ScienceAndTechnology
110,Calvin Harris records song with Taylor Swift's long-time rival Katy Perry,"Last week Taylor¡¯s ex Calvin Harris announced he had recorded a song with her long-time rival Katy Perry. Now I can reveal that same track features another guest who had a beef with the Shake It Off Star, Nicki Minaj. The trio will unveil the single ...",Entertainment
695,Japanese princess to lose royal status when she marries 'beach tourism' lover she met at university,"A Japanese princess is set to lose her royal status by marrying a 'beach tourism' worker she met at university. Princess Mako, the eldest granddaughter of Emperor Akihito, will become a commoner as tradition dictates when she ties the knot with fianc? Kei ...",World
653,Busy Cardiff street sealed off and forensic officers on scene after serious assault - live updates,"One man has been taken to hospital after a serious assault near Cardiff city centre. Police were called to Allerton Street, Grangetown, at around 3.40am on Wednesday. The 23-year-old man was taken to the University Hospital of Wales with non-life ...",UK
463,VMware brings DaaS to Microsoft Azure with Horizon Cloud,"VMware¡¯s Horizon Cloud on Azure delivers a better experience for organisations wanting to deploy DaaS through public cloud. VMware has announced that it is to deliver its Horizon Cloud platform on Microsoft Azure, enabling customers to accelerate their ...",ScienceAndTechnology
246,Heartbreaking letter of man describes why he kept his wife body for six days,"A Derbyshire man has issued a heartbreaking letter explaining why he kept his wife in her room for six days after she died from cervical cancer aged just 50. When Russell Davison's wife Wendy died of cervical cancer at 50, he wanted to be in control of ...",Health
278,Women at higher risk of breast cancer if they have all-over fat rather than just on their belly,"Women face a higher risk of breast cancer if their body fat is spread all over compared to those with just belly fat, research reveals. In the UK, 50,000 women are diagnosed with the disease every year. Now experts have found that reducing your overall ...",Health
581,Manchester United press conference LIVE Jose Mourinho Europa League updates,Man Utd news includes updates from Jose Mourinho as he speaks to the press ahead of the Europa League fixture vs Celta Vigo on Thursday. Manchester United manager Jose Mourinho is set to address the press ahead of the Europa League semi final second leg ...,Sports
763,'Bunker' built on top of Second World War bomb as experts work to defuse it,Experts working on defusing a giant Second World War bomb containing 130 kilograms of high explosives have built a ¡°bunker¡± over the top of the rusting device. The West Midlands strategic police and crime board heard the protective measure had been ...,World
74,Jeremy Corbyn leaves a ¡®mammoth hole¡¯ in Labour¡¯s plans after failing to explain how much FOUR nationalisations of industries would cost the UK,JEREMY CORBYN left a mammoth hole in Labour¡¯s plans after failing to spell out how much FOUR sweeping nationalisations will cost. Labour revealed plans to ¡°take back control¡± of the water industry as well as 22 energy networks across the UK ...,Business
86,"Mortgage Rates Tuesday, May 16: Mostly Small Moves Lower","You can trust that we maintain strict editorial integrity in our writing and assessments; however, we receive compensation when you click on links to products from our partners and get approved. Here's how we make money. Interest rates for 30-year and 15 ...",Business
285,Mum¡¯s life time of thanks to air ambulance crew,"A woman whose life was saved after a Mother¡¯s Day collision has met the air medic who flew to her aid. Julie Johnson, from Donwell in Washington, was on her way to visit her daughter when she collided with another vehicle near Houghton. Julie Johnson ...",Health
492,Young Ulster duo Treadwell and Stockdale set to make Ireland debuts on summer tour,"Ulster youngsters Jacob Stockdale and Kieran Treadwell have been rewarded for their fine seasons with first call-ups to the Ireland squad for the summer tour to the USA and Japan. Stockdale, who only one year ago was a key part of the side who made an ...",Sports
177,Alternative gardening festival to end with floral flotilla,"THE fourth Chelsea Fringe Henley festival gets under way tomorrow (Saturday). The two-week alternative festival of flowers, gardens and gardening runs concurrently with the main festival and aims to showcase the wealth of horticultural talent in the town ...",Entertainment
125,New Whisky Galore! film ¡®verges on being racist¡¯,"One of Scotland¡¯s leading traditional musicians has accused the makers of the new version of Whisky Galore! of ¡°verging on being racist¡± with their depiction of islanders. Angus MacPhail, a founder member of the Hebridean band Skipinnish, and the ...",Entertainment
320,Banned ex-mayor of Tower Hamlets to launch latest stage in legal battle,"A former London mayor barred from running for office for five years after being found guilty of corrupt and illegal practices following a specialist court hearing is preparing for the latest stage of a legal battle. Lutfur Rahman, who was the directly ...",Politics
614,Police seek man dressed as giant penis after serious assault in Leeds,"Police are hoping to speak to a man who was wearing a similar costume to this in LeedsWest Yorkshire Police Police are wanting to speak to a man who went on a night put dressed in a ""distinctive"" fancy dress costume after a man was seriously assaulted in ...",UK
236,Hartlepool bakery¡¯s ¡®free-from¡¯ range is a hit with customers,"The has team has also invested significant time and resources into training staff to help customers with allergies. Gluten and dairy-free breads, soups, sweet mince tarts, shortbread, Victoria sponge, Florentine, brownie, and rocky road are among the ...",Health
663,What are they doing in Manor Street?,"It¡¯s all change in Manor Street again. The town centre road is set to be closed for a couple of months as the latest stage in Bridlington¡¯s transport plan is implemented. Work will see the road resurfaced and new paving along the footways, similar to ...",UK
373,Jeremy Corbyn's Labour manifesto suggests West Midlands mayor role could be AXED,"A leaked draft of the Labour Party General Election manifesto suggests the position of West Midlands mayor could be AXED. Jeremy Corbyn's plans for government if he wins the June 8 general election leaked late last night, with an emphasis on nationalisation.",Politics
219,Tummy troubles? Nine signs it could be more serious,"What springs to mind when you hear the words inflammatory bowel disease or IBD? Dodgy bellies, toilet troubles? The two most common forms of IBD are Crohn's disease and ulcerative colitis. Yes, both are digestive conditions, but there's a lot more to them ...",Health
460,PayPal: Australian businesses are behind when it comes to shipping,"Australian businesses are failing to meet consumers¡¯ shipping expectations, according to research published today in the PayPal mCommerce Index: Trends Report. The report exposes a significant gap between consumer demand and the shipping capability of ...",ScienceAndTechnology
658,Three vehicles damaged in one night in Mastin Moor,"Police are appealing for information after three vehicles were damaged on the same night in Mastin Moor. The paintwork of a car and a van which were parked on Rowan Road and a car on Miller Avenue, was damaged at around 11pm on Monday, May 8. Officers ...",UK
755,What could go wrong? Delta to use facial recog to automate bag drop-off,"Delta Air Lines plans to deploy four self-service bag drop machines at Minneapolis?St Paul International Airport this summer, one of which will include a facial recognition system to match those depositing bags with their passport photos. Delta senior ...",World
682,What are THOSE metal canisters? MM investigates the drug craze sweeping the streets of Manchester,"Walking in and around Manchester city centre you may have come across a few small, empty metal capsules. These silver objects are used to store nitrous oxide, or ¡®laughing gas¡¯, which is inhaled to make people feel euphoric and relaxed. It earned its ...",UK
657,Prisoner dies in Maghaberry jail,"A remand prisoner has died in Maghaberry Prison this morning. The 38-year-old man died on Wednesday morning, May 17, the prison service confirmed. The Head of the Prison Service, Ronnie Armour said: ""I would like to extend my sympathy and that of the ...",UK
226,Amanda is thankful for every day with her family,"A new wonder drug would give Amanda McClay six months to live, she was told. But three years on the 30-year-old from Preston is still going strong and is determined to live each day as if it was the last. Amanda McClay, of Preston, who has an aggressive ...",Health
410,Ubisoft sets its E3 press conference date,"Ubisoft has dated its annual E3 press briefing - for 1pm Pacific time on Monday, 12th June. Here in the UK, that's 9pm local time. Last night, a flurry of announcements saw confirmations of Far Cry 5, The Crew 2 for E3, along with the return of Assassin's ...",ScienceAndTechnology
276,Primary school confirms child has 'non-contagious' TB,"A letter has been sent to parents of children at a Grimsby primary school informing them that a pupil has tested positive for tuberculosis. But, the letter from Willows Academy says that the pupil's strain of TB is ""not contagious"". The primary school ...",Health
300,White House reels from another self-inflicted crisis,The relationship between this White House and the intelligence agencies hasn't been great. President Donald Trump's recent disclosures have made things worse. National Security Adviser HR McMaster stood on a driveway outside the White House on Monday ...,Politics
222,Lynx hints at return of ¡®entertaining¡¯ ads as it launches new men¡¯s issues campaign,"Lynx says it has been ¡°overwhelmed¡± by the positive reactions to its new, more serious, brand positioning, but adds its future communications will also look to entertain. It started a brand overhaul nearly three years ago, when it moved away from ...",Health
148,INTERVIEW: The Pioneer speaks with KT Tunstall ahead of Llandudno gig,"KT Tunstall is promising new sounds, new ¡°toys¡± and plenty of audience participation when she performs at Llandudno later this month. The Scottish singer-songwriter¡¯s gig at Venue Cymru follows the release of her latest album, KIN, which includes the ...",Entertainment
127,Netflix stealing the limelight at Cannes,"Video on demand service Netflix is ruffling feathers at the 70th Cannes Film Festival in France. As Kate King reports, this might be the first and last time time it competes unless it or the industry changes its rules. Cannes is all dressed up for its ...",Entertainment
733,Guo Weimin meets Israeli Minister of Regional Cooperation,"Guo Weimin, Vice Minister of the State Council Information Office, meets with Tzachi Hanegbi, Minister of Regional Cooperation and Telecommunications, in Beijing on May 15. [Photo/China SCIO] Guo Weimin, Vice Minister of the State Council Information ...",World
706,General Election 2017: Labour set for double Rochdale blow,Two weeks ago today I recommended backing the Tories at 7/2 in Rochdale. Today I'm looking at the other Westminster seat in the town and my hopes for Labour are just as bad here as they were there. They followed up this close miss in 2015 by securing over ...,World
350,Wirral safeguarding chief: You can trust us to solve child protection issues,The child protection expert brought in to overhaul Wirral¡¯s safeguarding watchdog says the public can trust that improvements will be made. Doctor Maggie Atkinson believes lessons have already been learned from a shocking sexual exploitation campaign ...,Politics
136,Kate Middleton Reveals Worries Prince George And Princess Charlotte Will Misbehave At Pippa's Wedding,"As someone who once attended a family wedding and watched the best man answer a phone call ? mid vows ? to his friend asking about the Liverpool v Manchester United score, I must say, we should be more concerned with how adults behave at weddings ...",Entertainment
190,"Powers Boothe, Emmy-winning character actor known for villain roles, dies at 68","Powers Boothe, the character actor known for his villain roles in TV's ""Deadwood,"" and in the movies ""Tombstone,"" ""Sin City"" and ""The Avengers,"" has died. He was 68. Boothe's publicist says he died of natural causes at his home in Los Angeles Sunday.",Entertainment
75,Princess Charlotte is reportedly worth ?3 billion,"The two-year-old royal - who is the daughter of the Duke and Duchess of Cambridge - is believed to have racked up a whopping 10-figure net value sum within 24 months, according to the business valuation consultancy company Brand Finance. Duchess Catherine ...",Business
671,Firefighters called out after lorry's fuel tank spills on M4,"Part of the M4 had to be shut early this morning after a lorry¡¯s fuel tank split. Fire crews from Maidenhead, Slough and Windsor were called to the incident between junctions 8/9 and 10 at 4am. One westbound lane had to be shut for about half an hour ...",UK
497,Ars?ne Wenger upbeat on Arsenal¡¯s top-four bid and hopes other teams step up,"Ars?ne Wenger believes Arsenal still have a ¡°good chance¡± of a top-four finish, after watching Alexis S?nchez inspire a nervy 2-0 home win over a Sunderland team that fought throughout, despite the fact they were already relegated. The Arsenal ...",Sports
0,"Concerns over Trump dent stocks, dollar","LONDON Concern that U.S. President Donald Trump's reform agenda could be slowed down, and that Trump himself could even face the threat of impeachment, added to disappointing U.S. economic data on Wednesday to hit the dollar and spur a pullback from richly ...",Business
208,Uefa launches drive to boost girls¡¯ football participation in Europe,"Uefa will launch its biggest-ever marketing campaign next month with the aim of making football the No1 participation sport for girls and women in Europe by 2022. The campaign, ¡°Together #WePlayStrong¡±, will be launched on 1 June before this summer¡¯s ...",Health
734,More Americans now support impeaching Donald Trump than are opposed,"After a chaotic week in the West Wing, a new national poll shows that more Americans support impeaching Donald Trump than not. Nearly half (48 per cent) of respondents said they would support impeachment, while 41 per cent were opposed. Additionally, 45 ...",World
582,Draymond Green Is Better Than Ever On Defense,"Draymond Green notched a triple-double against the Jazz in Game 4, but his biggest impact has been on the defensive side. But perhaps no star has raised the level of his game in the postseason as much as Golden State¡¯s Draymond Green. Yes, he was great ...",Sports
362,Stone-throwing yobs targeting taxi drivers,"Stone-throwing yobs are becoming a major problem for taxi drivers in Preston. Gangs of youngsters started targeting cabs just before Christmas and the issue has become an unwelcome trend, says taxi driver Ammad Chaubhary. ¡°I had about three kids ...",Politics
321,Aldersgate Group calls for resource efficiency strategy,"Aldersgate Group has called for politicians to consider resource efficiency measures as a ¡®priority¡¯, in a manifesto report setting out policies beyond the June election, published yesterday (16 May). The group, which has members including M&S, Sky ...",Politics
634,TfL's commissioned findings into Croydon tram crash now expected to be published in autumn,An independent investigation commissioned by Transport for London (TfL) into the Croydon tram crash originally thought to conclude this spring will now be published in the autumn. The authority has commissioned engineering firm SNC-Lavalin to undertake the ...,UK
21,"Ikea to open new stores in Sheffield, Exeter and Greenwich and create 1,300 jobs","Ikea is set to create 1,300 new British jobs by the end of next year as it opens three new outlets in Sheffield, Exeter and London. The new stores will take popular Swedish flat-pack furniture giant to a total of 22 warehouse outlets across the UK, along ...",Business
411,Why big companies need to act with a startup mentality when it comes to product launches,"Top brands should remain agile and not be scared to admit when a formula is no longer working, according to marketers from Nokia, Lego and Fatface. The brands were speaking at a Launch 360 event in London last week (11 May), where Sara Holt, global ...",ScienceAndTechnology
259,Survey reveals South West has most regular drinkers in Britain,"Figures from the Office for National Statistics (ONS) Opinions and Lifestyle Survey show three in four people (70.1 per cent) aged 16 or older in the South West consumed alcohol in the past seven days, which is more than any other region in England and Wales.",Health
40,Old Mutual Wealth: Why we¡¯re selling UK and adding Europe,Increased uncertainty in the UK and the subsidence of potential political headwinds in Europe have influenced some of Old Mutual Wealth model portfolio manager Stuart Clark¡¯s recent portfolio changes. Political uncertainty and weaker economic data have ...,Business
85,VERIFY: Is Hobby Lobby closing its stores?,"HOUSTON - Our Verify team is taking on a story that shocked a lot of shoppers. Several websites claim the popular crafting chain Hobby Lobby is shutting down all of its stores. The reports say the company¡¯s CEO, David Green, is closing the stores because ...",Business
336,Who was Caroline of Brunswick?,"Caroline was born on 17 May 1768; her father was Charles, Duke of Brunswick-Wolfenb?ttel, and her mother, Princess Augusta. She was the sister of George III and had married the Duke about four years earlier. Brunswick-Wolfenb?ttel lies south-east of ...",Politics
198,Online abortion services 'alternative to unsafe methods',"Online abortion services can offer an alternative to unsafe methods to end a pregnancy, research has suggested. The findings, published in the British Medical Journal, follow research carried out by an American university. Some 1,000 women, who purchased ...",Health
655,Enjoy a half-price ride on Eastbourne¡¯s Dotto train,The Eastbourne Herald is this week pleased to offer readers half-price travel on the town¡¯s Dotto train. The much loved mini-engine will return to the seafront promenade in time for the Bank Holiday weekend. Dotto resumes its traditional route between ...,UK
722,Trump ¡®asked FBI boss to drop Flynn inquiry¡¯,"Donald Trump reportedly asked then-FBI director James Comey to drop an investigation into ex-national security adviser Michael Flynn and his Russia ties. The US President made the request to Mr Comey during a February meeting, according to The New York ...",World
203,Avoid NHS waiting lists,"The NHS does its best with limited resources and increasingly limited funds, but unfortunately waiting times can be long before you¡¯re able to see a specialist. If you¡¯re worried about the waiting lists then you may have thought about private ...",Health
24,Dollar extends losses on US political concerns; euro rises to $1.11,The main focus of the markets in Asia today was on US political concerns as President Donald Trump continued to create controversy. Risk aversion led to a stronger safe haven yen while gold also benefitted from a weaker dollar. The euro rose to a fresh six ...,Business
361,Northern Rail staff to hold FOURTH day of strike action over driver-only trains,"Rail passengers are warned to brace themselves for Northern Rail¡¯s FOURTH strike action in three months. Members of the Rail, Maritime and Transport union have confirmed they plan to walk out on May 30 - the first day of work after a Bank Holiday weekend.",Politics
580,Shirley Ballas Replaces Len Goodman As Strictly Come Dancing Head Judge,"It¡¯s official: Shirley Ballas will be replacing Len Goodman as the head judge on this year¡¯s series of Strictly Come Dancing. The ballroom queen is new to the show, but will take the casting vote in the show¡¯s dance-offs after rumours suggested ...",Sports
673,Doncaster¡¯s new register office set to open,"Doncaster Council¡¯s Priory Place building is to replace Elmfield House as Doncaster¡¯s register office for weddings. The authority will base its register office weddings at the grade 2 listed Priory Place, which is next door to the Mansion House in the ...",UK
58,Key appointment at Nottingham's largest homegrown financial institution,"Nottingham Building Society has appointed Dan Mundy as finance director. He succeeds Ashraf Piranie, who recently left the organisation ? which trades as The Nottingham ? to join West Bromwich Building Society. Mr Mundy joins from the Co-op Bank, where ...",Business
459,Pulitzer prize winner blocked from Facebook after series of 'corruption facts' posts,Pulitzer prize winner Matthew Caruana Galizia has been temporarily locked out of his Facebook page after complaints were filed about a series of 'corruption facts' posts. Mr Caruana Galizia discovered to his surprise this morning that he had been ...,ScienceAndTechnology
592,Yonda: How does a self-drive tour of London shape up?,"For the people behind London¡¯s latest tourism innovation, I was a lousy first customer. Yonda, which started operations this week, claims to be London¡¯s first self-drive sightseeing tour. It offers visitors the chance to take to the streets in a Smart ...",UK
